AmbTemp_C_Avg,WindSpeedAve_ms,WindDirAve_deg,PwrMtrP_kW_Avg,RTD_C_Avg_Mean,Minute
10.19,0.817,22.15,7.017,10.7365,977
11.0,2.06,310.7,80.4,19.234,901
5.535,0.603,142.0,0.0,1.9216000000000002,1118
9.99,2.955,296.5,186.7,21.837000000000003,781
4.956,0.76,250.5,0.0,3.1336,256
6.529,1.868,206.4,0.0,5.7292000000000005,25
3.844,0.642,190.2,0.0,2.6691000000000003,336
6.645,0.872,322.9,105.6,11.892,572
6.549,2.728,232.0,0.0,5.472700000000001,47
5.541,1.08,216.3,0.0,2.4558,106
4.111,0.883,195.7,0.0,2.8728,349
6.431,1.663,208.0,0.0,5.332099999999999,55
9.98,1.615,310.1,163.3,25.111,743
4.273,0.915,242.5,0.0,0.03200000000000003,213
5.454,1.098,225.8,0.0,2.2326,120
7.578,0.62,90.1,0.0,4.4888,1035
9.18,2.032,318.5,167.8,18.994999999999997,678
6.25,1.425,200.8,0.0,5.027800000000001,72
11.17,2.293,300.7,79.39,17.366,923
7.313,0.298,63.61,0.0,3.9441,1047
6.524,2.058,233.7,0.0,5.4914,45
5.441,0.638,173.9,0.0,2.2329,1213
4.484,0.29,317.7,33.26,6.891300000000001,523
4.968,0.162,346.0,0.0,1.971,1179
11.04,1.067,301.6,85.4,17.451999999999998,924
9.67,1.875,306.7,138.3,21.798000000000002,762
5.511,0.988,303.9,33.69,8.148,533
7.71,1.707,334.8,57.55,13.545999999999998,603
2.536,0.618,98.4,0.624,1.5186,465
5.693,0.303,348.6,0.0,2.0082999999999998,1167
5.417,0.21,129.8,0.0,2.3880000000000003,1227
9.73,2.427,346.5,166.1,21.622999999999998,714
10.88,2.872,309.2,106.5,21.47,874
6.365,1.567,227.1,0.0,5.3051,60
5.947,1.605,235.4,0.0,3.2859000000000003,92
8.69,1.332,321.9,106.3,16.173000000000002,650
4.572,1.183,217.4,0.0,0.4885999999999999,194
4.986,1.34,254.3,0.0,3.6495999999999995,280
4.393,0.82,204.8,0.0,3.2354999999999996,359
4.266,0.243,43.64,36.11,6.218300000000001,519
6.392,0.148,122.3,0.0,5.9955,1411
9.2,2.305,321.1,180.8,18.654999999999998,707
4.514,1.96,206.2,0.0,0.43810000000000004,182
5.415,0.575,199.6,0.0,2.1584000000000003,110
8.17,0.648,110.6,0.581,7.205500000000001,1004
10.48,1.752,295.2,141.6,24.072,843
4.28,0.625,210.1,0.0,0.1735,204
10.48,1.847,335.6,156.5,23.014999999999997,839
6.387,1.0606782861292665,0.0,0.0,5.3149,52
5.916,1.16,12.36,39.26,8.726,545
7.921,0.605,45.05,-0.376,4.837,1031
10.45,3.162,284.7,94.8,20.386000000000003,824
10.74,2.11,289.3,148.4,23.337,788
10.98,0.99,291.3,59.77,16.671000000000003,950
4.306,1.365,185.2,0.0,0.5098,183
4.737,0.872,193.6,0.0,1.3506,137
6.183,0.307,108.2,0.0,5.8706000000000005,1374
6.239,2.207,235.6,0.0,4.3498,80
5.571,0.292,320.7,0.0,1.8109000000000002,1164
5.556,1.135,227.0,0.0,2.5629,105
6.115,0.858,351.7,31.98,8.448000000000002,541
9.2,3.592,298.9,124.5,18.845000000000002,682
3.436,0.38,203.3,10.39,1.7367000000000001,480
3.751,0.63,194.6,0.0,0.5561,165
4.863,0.602,272.8,0.0,2.6155,248
4.645,0.747,161.0,0.0,3.399,307
3.222,0.492,95.8,-0.484,1.8506,446
5.229,0.567,132.0,0.0,1.9271999999999998,1172
3.841,0.635,185.5,0.0,2.6353999999999997,334
5.676,0.652,235.0,0.0,2.7836,97
4.591,0.615,193.1,0.0,1.6882000000000001,1137
10.99,1.863,282.9,126.0,22.455,869
5.551,1.82,225.6,0.0,2.617,102
